SKU,DESCRIPTION,YEAR,CAPACITY,URL,PRICE,SELLER_INFORMATION,OFFER_DESCRIPTION,COUNTRY
11331,"Barbaresco,Angelo Gaja",1990,750ml,https://www.wine-searcher.com/find/barbaresco+angelo+gaja/1990/-/-/u,$295.00,TopWines Switzerland SA,1990Barbaresco Gaja Angelo,Switzerland
11331,"Barbaresco,Angelo Gaja",1990,750ml,https://www.wine-searcher.com/find/barbaresco+angelo+gaja/1990/-/-/u,$324.62,Vintage Grand Cru,Gaja Barbaresco1990,Hong Kong
11331,"Barbaresco,Angelo Gaja",1990,750ml,https://www.wine-searcher.com/find/barbaresco+angelo+gaja/1990/-/-/u,$329.00,The Redd Collection,"1990Barbaresco,Angelo Gaja",USA (CA)
11331,"Barbaresco,Angelo Gaja",1990,750ml,https://www.wine-searcher.com/find/barbaresco+angelo+gaja/1990/-/-/u,$338.68,Wine Walker (HK) Limited,"Gaja Barbaresco,1990,Italy,Piedmont",Hong Kong
11331,"Barbaresco,Angelo Gaja",1990,750ml,https://www.wine-searcher.com/find/barbaresco+angelo+gaja/1990/-/-/u,$396.83,Enoteca Properzio,Barbaresco Gaja19900.75lt.,Italy
11331,"Barbaresco,Angelo Gaja",1990,750ml,https://www.wine-searcher.com/find/barbaresco+angelo+gaja/1990/-/-/u,$521.15,Kracher Fine Wine GmbH,"1990Barbaresco,Angelo Gaja,Italien",Austria
11332,"Barbaresco,Angelo Gaja",2010,750ml,https://www.wine-searcher.com/find/barbaresco+angelo+gaja/2010/-/-/u,$175.00,The Redd Collection,"2010Barbaresco,Angelo Gaja",USA (CA)
11332,"Barbaresco,Angelo Gaja",2010,750ml,https://www.wine-searcher.com/find/barbaresco+angelo+gaja/2010/-/-/u,$196.82,Conti Int'l HK Trading Co Ltd.,"2010Gaja Barbaresco,Italy",Hong Kong
11332,"Barbaresco,Angelo Gaja",2010,750ml,https://www.wine-searcher.com/find/barbaresco+angelo+gaja/2010/-/-/u,$203.05,Roberson Wine Retail,"2010Barbaresco,Gaja,Red",UK
11332,"Barbaresco,Angelo Gaja",2010,750ml,https://www.wine-searcher.com/find/barbaresco+angelo+gaja/2010/-/-/u,$894.08,MRM Wine Investments,"2010Gaja,Barbaresco,Red,Italy",UK
11332,"Barbaresco,Angelo Gaja",2010,750ml,https://www.wine-searcher.com/find/barbaresco+angelo+gaja/2010/-/-/u,$903.90,BBX Berrys' Broking Exchange,"2010Barbaresco,Angelo Gaja",UK
11332,"Barbaresco,Angelo Gaja",2010,750ml,https://www.wine-searcher.com/find/barbaresco+angelo+gaja/2010/-/-/u,$917.00,Hatton & Edwards,2010Gaja Barbaresco Angelo(IB),UK
11332,"Barbaresco,Angelo Gaja",2010,750ml,https://www.wine-searcher.com/find/barbaresco+angelo+gaja/2010/-/-/u,$917.00,Corney & Barrow,Barbaresco Angelo Gaja2010,UK
11332,"Barbaresco,Angelo Gaja",2010,750ml,https://www.wine-searcher.com/find/barbaresco+angelo+gaja/2010/-/-/u,$978.57,VinQuinn Ltd,"2010Barbaresco,Gaja,Piedmont,Barbaresco",UK
11332,"Barbaresco,Angelo Gaja",2010,750ml,https://www.wine-searcher.com/find/barbaresco+angelo+gaja/2010/-/-/u,$1041.45,Seckford Wines,"Barbaresco,2010,Angelo Gaja,",UK
11332,"Barbaresco,Angelo Gaja",2010,750ml,https://www.wine-searcher.com/find/barbaresco+angelo+gaja/2010/-/-/u,$1135.77,"Crump, Richmond & Shaw Fine Wines",2010Barbaresco Gaja,UK
11333,"Barbaresco,Costa Russi,Angelo Gaja",2009,750ml,https://www.wine-searcher.com/find/barbaresco+costa+russi+angelo+gaja/2009/-/-/u,$260.86,Best of Wines,Gaja Costa Russi2009,Netherlands
